adaptive_cell_id,rental_count,seed_rental_idx,seed_local_k_radius_m,x_centroid,y_centroid,radius_m,mean_rent,median_rent,mean_price_per_bedroom,member_rental_idx,centroid_lon,centroid_lat,cell_area_km2,crime_count_in_circle,violent_crime_count_in_circle,violent_crime_ratio_in_circle,restaurant_count_in_circle,subway_count_in_circle
ac_0125,5,1119,244.87339790488429,628790.2049076792,4838621.554735194,244.87339790488429,2985.0,2600.0,2585.0,"1119,1073,724,1184,1176",-79.4019404,43.689441699999996,0.18837926060160579,35,16,0.45714285714285713,1,0
ac_0126,5,743,252.46118364287398,627500.1907576295,4840058.541019551,252.46118364287398,2369.8,2595.0,2110.3,"743,745,668,670,665",-79.417601,43.702597999999995,0.20023458903679694,64,27,0.421875,0,0
ac_0127,5,1189,253.69918250907895,629578.6976167791,4834796.70061083,253.69918250907895,1650.0,1500.0,1650.0,"1189,667,545,1002,440",-79.3930794,43.65487899999999,0.20220319254744068,335,205,0.6119402985074627,69,0
ac_0128,5,821,253.7214463468783,631374.8488346225,4836485.263729136,253.7214463468783,2200.0,2050.0,2200.0,"821,635,639,1013,547",-79.3704028,43.6697615,0.2022386835298677,378,186,0.49206349206349204,7,0
ac_0129,5,10,259.2778406519763,630282.8155527174,4835904.128453005,259.2778406519763,2640.0,2300.0,1990.0,"10,118,449,643,162",-79.3840836,43.6647233,0.21119356190632488,763,546,0.7155963302752294,55,1
ac_0130,5,245,259.68406225200613,631526.5360923589,4834724.888125315,259.68406225200613,2144.0,2450.0,1594.0,"245,360,578,105,656",-79.3689511,43.6538906,0.21185585215775127,679,487,0.7172312223858616,11,0
ac_0131,5,344,261.60226864047945,630176.4597001441,4836578.434770031,261.60226864047945,2039.6,2000.0,2039.6,"344,914,61,312,303",-79.3852395,43.670811,0.2149972398856977,876,636,0.726027397260274,73,1
ac_0132,5,735,262.6619288891291,626709.7192425132,4832793.2587527605,262.6619288891291,2149.0,2025.0,1869.0,"735,740,802,957,218",-79.4291147,43.637341199999995,0.21674252633147142,367,295,0.8038147138964578,10,0
ac_0133,5,608,266.43784610522937,630678.5183573298,4834898.096935562,266.43784610522937,1560.0,1800.0,1340.0,"608,580,382,593,474",-79.3794212,43.65559910000001,0.2230189162148897,1833,1468,0.800872885979269,93,1
ac_0134,5,1074,269.3173705091753,631058.5916367988,4834834.578599742,269.3173705091753,2425.0,2300.0,1850.0,"1074,521,85,315,1141",-79.3747251,43.654960499999994,0.22786551472704447,859,607,0.7066356228172294,28,0
ac_0135,5,666,275.15665691995366,626232.6948900738,4837486.257930638,275.15665691995366,1647.8,1600.0,1462.8,"666,877,872,1034,868",-79.4339287,43.6796625,0.23785370525265365,146,98,0.6712328767123288,19,0
ac_0136,5,150,283.67081147151816,630810.2678705433,4834149.819612853,283.67081147151816,1860.0,1900.0,1860.0,"150,482,560,472,121",-79.3779693,43.64884109999999,0.2528012253896729,573,316,0.5514834205933682,140,1
ac_0137,5,397,284.7858530435884,636943.8523855072,4839434.180254053,284.7858530435884,2157.0,2335.0,1872.0,"397,836,652,826,913",-79.300604,43.69529639999999,0.2547925327299946,286,210,0.7342657342657343,0,0
ac_0138,5,253,291.50355565393573,627503.9042437677,4833006.643818938,291.50355565393573,2370.0,2000.0,1260.0,"253,425,103,355,321",-79.4192221,43.6391261,0.26695470875140653,226,103,0.4557522123893805,36,0
ac_0139,5,539,301.6887027090901,629574.5069906814,4833428.8649761565,301.6887027090901,2725.2,2300.0,2071.8666666666663,"539,332,618,619,513",-79.3934596,43.642568499999996,0.2859354273707398,384,256,0.6666666666666666,19,0
ac_0140,5,907,302.59656520293464,628055.8365328403,4837961.2561276825,302.59656520293464,3041.6,2750.0,2049.6,"907,997,918,710,892",-79.41120606,43.68362566999999,0.2876589300143347,88,39,0.4431818181818182,0,0
ac_0141,5,1163,307.5933971846774,628732.034862346,4839432.600929658,307.5933971846774,2344.0,1950.0,1974.0,"1163,906,867,733,1007",-79.4024681,43.6967516,0.2972376985394076,42,19,0.4523809523809524,0,0
ac_0142,5,153,313.84673929463753,630444.9813798513,4833783.986461861,313.84673929463753,1800.0,1500.0,1480.0,"153,403,563,556,185",-79.3825854,43.64561260000001,0.30944617192631857,747,545,0.7295850066934404,120,2
ac_0143,5,853,314.4799132854722,628845.1007418183,4836351.296343906,314.4799132854722,2094.2580000000003,2127.29,2094.2580000000003,"853,1052,220,625,637",-79.4018021,43.66899870000001,0.31069602344344116,470,362,0.7702127659574468,9,2
ac_0144,5,1005,321.21581386045074,628276.7030445803,4833042.693814372,321.21581386045074,2735.0,2350.0,2081.6666666666665,"1005,1049,1138,534,379",-79.4096361,43.63931770000001,0.3241482704513183,131,100,0.7633587786259542,2,0
ac_0145,5,1035,325.9549481875929,626012.5927852755,4832605.293875002,325.9549481875929,1871.4,1699.0,1871.4,"1035,383,1068,799,806",-79.437798,43.635767799999996,0.3337836267725283,348,242,0.6954022988505747,1,0
ac_0146,5,933,326.7792535646252,624966.1899548568,4834078.075855496,326.7792535646252,2619.0,2400.0,1989.5,"933,856,1148,235,873",-79.450425,43.6492005,0.33547396796402557,131,57,0.4351145038167939,27,0
ac_0147,5,201,334.1977028591067,629436.3407980644,4836509.5383265605,334.1977028591067,2349.2,2000.0,2349.2,"201,1154,1019,246,776",-79.3944332,43.67032019999999,0.3508785288931163,480,215,0.4479166666666667,54,0
ac_0148,5,621,338.2345265378561,629005.9329372884,4841051.924226374,338.2345265378561,2402.4,2059.0,2057.4,"621,926,972,626,746",-79.3986824,43.711278699999994,0.35940635182229974,200,115,0.575,29,0
ac_0149,5,651,339.7541045122467,629883.0950196807,4839786.7346467925,339.7541045122467,2504.4,2477.0,1909.4,"651,1172,1021,716,951",-79.38810388,43.699738450000005,0.3626429983587386,213,104,0.48826291079812206,15,0
ac_0150,5,961,342.37171260828825,621178.8936939014,4829169.923337185,342.37171260828825,1893.8,1925.0,1648.8,"961,91,1090,1070,1011",-79.4984715,43.60564910000001,0.3682524316151807,32,19,0.59375,0,0
ac_0151,5,82,351.40881501333723,630395.93368383,4835411.435225085,351.40881501333723,2668.0,2450.0,1804.0,"82,83,324,1016,23",-79.3828002,43.660269,0.38794948139869073,2264,1830,0.808303886925795,120,1
ac_0152,5,389,354.1085575221375,631840.3432629306,4835426.812187817,354.1085575221375,2117.0,2425.0,1577.0,"389,589,173,283,1028",-79.3648897,43.66015260000001,0.39393332080803706,710,506,0.7126760563380282,25,0
ac_0153,5,855,361.0953956085878,629212.4161774977,4839058.193419893,361.0953956085878,2196.8,2200.0,2196.8,"855,788,1064,1129,981",-79.39659880000002,43.693298299999995,0.4096319039693162,140,74,0.5285714285714286,0,0
