grid_id,grid_ix,grid_iy,crime,rentals,restaurants,subway,total_points,x_min,x_max,y_min,y_max,x_centroid,y_centroid,centroid_lon,centroid_lat,cell_area_km2
g_9_15,9,15,21.0,0.0,0.0,0.0,21.0,614000.0,614500.0,4834500.0,4835000.0,614250.0,4834750.0,-79.58312113157734,43.6569725533405,0.25
g_9_16,9,16,60.0,0.0,0.0,0.0,60.0,614000.0,614500.0,4835000.0,4835500.0,614250.0,4835250.0,-79.58301527261105,43.66147319860747,0.25
g_9_17,9,17,25.0,0.0,0.0,0.0,25.0,614000.0,614500.0,4835500.0,4836000.0,614250.0,4835750.0,-79.58290938911324,43.66597384011163,0.25
g_9_18,9,18,4.0,0.0,0.0,0.0,4.0,614000.0,614500.0,4836000.0,4836500.0,614250.0,4836250.0,-79.58280348107715,43.670474477852885,0.25
g_9_20,9,20,17.0,0.0,0.0,0.0,17.0,614000.0,614500.0,4837000.0,4837500.0,614250.0,4837250.0,-79.58259159136288,43.67947574204642,0.25
g_9_21,9,21,18.0,0.0,0.0,0.0,18.0,614000.0,614500.0,4837500.0,4838000.0,614250.0,4837750.0,-79.58248560967112,43.68397636849849,0.25
g_9_22,9,22,8.0,0.0,3.0,0.0,11.0,614000.0,614500.0,4838000.0,4838500.0,614250.0,4838250.0,-79.58237960341388,43.68847699118736,0.25
g_9_23,9,23,4.0,0.0,0.0,0.0,4.0,614000.0,614500.0,4838500.0,4839000.0,614250.0,4838750.0,-79.58227357258434,43.6929776101129,0.25
g_9_24,9,24,7.0,0.0,0.0,0.0,7.0,614000.0,614500.0,4839000.0,4839500.0,614250.0,4839250.0,-79.5821675171757,43.697478225275034,0.25
g_9_25,9,25,27.0,0.0,0.0,0.0,27.0,614000.0,614500.0,4839500.0,4840000.0,614250.0,4839750.0,-79.58206143718117,43.701978836673696,0.25
g_9_28,9,28,112.0,0.0,2.0,0.0,114.0,614000.0,614500.0,4841000.0,4841500.0,614250.0,4841250.0,-79.58174304961398,43.71548064828792,0.25
g_9_29,9,29,30.0,0.0,0.0,0.0,30.0,614000.0,614500.0,4841500.0,4842000.0,614250.0,4841750.0,-79.58163687120766,43.71998124463181,0.25
g_9_30,9,30,33.0,0.0,0.0,0.0,33.0,614000.0,614500.0,4842000.0,4842500.0,614250.0,4842250.0,-79.58153066818136,43.72448183721177,0.25
g_9_31,9,31,6.0,0.0,0.0,0.0,6.0,614000.0,614500.0,4842500.0,4843000.0,614250.0,4842750.0,-79.58142444052824,43.72898242602777,0.25
g_9_32,9,32,76.0,0.0,0.0,0.0,76.0,614000.0,614500.0,4843000.0,4843500.0,614250.0,4843250.0,-79.58131818824147,43.73348301107968,0.25
g_9_33,9,33,259.0,0.0,0.0,0.0,259.0,614000.0,614500.0,4843500.0,4844000.0,614250.0,4843750.0,-79.58121191131423,43.737983592367435,0.25
